,AGE_REF,TOTEXPPQ,ALCBEVPQ,READPQ,APPARPQ,ENTERTPQ
3825171,59,19455.35,45,22,743,727
3825651,64,32589.0745,90,20,1141,700
3825701,44,49202.6733,900,90,2183,5633
3825861,36,12912.2501,834,30,846,506
3825901,59,36618,330,91,940,1488
3825931,33,12939.5,126,55,25,725
3826451,34,20443.25,135,50,487,718
3827041,27,11190.9999,240,20,393,165
3827271,53,32699.8368,120,45,1510,3144
3827651,67,15915,918,180,1590,1161
3828471,75,12114,120,30,130,419
3829061,39,17009,450,27,299,2189
3839821,69,10183.6666,243,16,85.3333,443
3839861,60,8866.5001,40,24,915,659
3840051,64,11744.2333,180,24,21,303
3840081,70,38864.2245,40,150,401,289
3840161,69,9352.8335,160,202,225,446
3840461,81,5219.3333,68,57,75,188
3841131,50,10768.8334,360,30,780,200
3841671,60,9731,350,180,253,557
3841961,55,24630.9999,200,10,1200,416
3842021,24,17520.6667,100,80,66.6667,1694
3842031,78,10642.8913,60,30,607,234
3842071,58,58030.8912,40,600,1529,5385
3842411,70,4371.6667,160,106,198,211
3842871,58,37548.6667,544,200,654,5040
3842881,58,10488.6667,86,27,115.3333,259
3843191,37,22823.1665,220,100,780,286
3843241,62,19722.8335,170,70,122.6667,928
3843371,31,14385.8334,35,76,126,457
3843822,21,5587.8334,160,10,63.3333,171
3843891,69,31859.5579,1150,250,1174.6667,5223
3843901,35,11186.5,70,80,176.3333,710
3844131,57,22008.3333,400,30,1002,560
3844181,49,22164.0001,200,45,245,321
3844221,33,6427.5,190,20,178.3333,80
3844381,42,28110.8911,40,22,800.6667,3415
3844411,65,38268.6666,80,40,21105,824
3844734,28,3523.3334,120,70,250,68
3845261,31,10531.6667,1,40,93,737
3845571,50,18300.1665,267,8,445,474
3846281,62,8980.6666,180,50,173,801
3846511,51,11052.9667,210,20,227,760
3846581,32,14474.3334,80,12,426,856
3846671,58,15666.9999,180,8,626,172
3846711,38,17256.8666,300,50,206,1198
3846951,39,12575.0001,40,16,499,553
3847181,55,16575.3579,270,148,210,496
3847721,65,8737.6666,66,33,41,436
3848361,49,14942.9,140,15,19,472
3848581,46,16956.1667,390,119,100,1693.3333
3848741,42,15433.5333,30,90,1242,1919
3848911,78,7600.6667,10,20,6.6667,354
3849571,54,19468.4488,220,250,133.3333,645
3849681,23,6013.8333,30,60,16,80
3849881,50,30563.5,60,88,669,2427
3850041,49,9496.6333,100,20,191,963
3850253,40,12171.6334,130,28,523.3333,464
3850471,37,4313.75,30,100,1012.6667,473
3850661,31,4233.5999,140,10,57,497
3851021,43,20521.1122,579,220,773.6667,4968
3851104,47,5320,20,94,66.6667,400
3852422,23,3150.5833,80,73,16.6667,67
3853841,48,9462.25,20,265,849,477
3853901,47,5831.4167,250,50,10,530
3854271,43,9251.5,120,10,20,1920
3854751,35,4594.6666,120,60,100,650
3855271,40,20210.6955,150,10,20,23
3855301,70,4232.6667,25,45,6,88
3855591,71,4525,15,45,35,81
3856841,46,5489.75,10,80,319,798
3856891,87,4974.3333,30,20,34.3333,289
3857281,80,8233.25,55,130,175,182
3857541,57,5355.7789,65,15,150,1090
3857751,41,7425.25,140,73,230,818.3333
3857811,31,9360.0833,600,20,319,615
3857821,61,6574.5667,20,26,330,402
3857941,60,20287.4456,280,231,1739.6667,1286
3857981,29,6245.1667,145,15,160,284
3858151,25,3594.5,45,30,84,88
3858611,37,11946.6667,170,10,131.3333,1015
3858841,81,19976.3333,60,45,100,265
3859091,62,5122.6667,55,4,234,354
3859121,53,10940.7789,125,26,1764.3333,576
3859341,87,7845,36,19,190,100
3859631,30,12378.6667,300,56,1357.6667,635
3860001,69,3129.75,20,10,70,219
3860021,54,4848.5834,60,50,40,221
3860161,43,8715.4167,130,100,262.6667,1289
3860571,58,16856.6123,140,23,187,1035
3566934,27,7949,430,40,105,106
3566984,66,22798.3368,15,248,53,473
3567664,72,7756.2498,710,27,139,230
3567884,68,20504,6,75,153,1024
3568024,61,42989.0866,1040,80,150,110
3568324,81,9682,17,111,301,512
3568404,74,6506.35,15,25,8,230
3569014,72,20006.0001,595,213,266,1465
3569044,59,5086.9999,120,45,78,186
3569944,38,50092,410,619,853,2968
3570164,70,19169.7501,90,46,75,1728
3570534,63,31749.5001,110,154,305,486
3571364,55,37611.3247,520,150,217,1717
3441024,69,56684.6733,90,1032,620,3353
3441434,34,14654.25,110,71,103,365
3441764,28,13800.75,210,155,480,887
3441824,46,60858.75,240,45,2288,4600
3441994,64,7359,20,8,2,12
3442354,65,17796.2502,831,30,435,480
3442364,59,29640.7367,975,180,940,585
3442624,38,14987.6367,120,20,407,1265
3442794,55,8346.9998,12,54,1160,739
3442834,62,14141.45,105,18,10,1236
3442924,47,6947.4999,45,3,32,840
3443674,70,27435.1001,151,127,147,3671
3444044,45,21534.3368,525,117,210,843
3444204,69,35202.25,704,323,438,1843
3444284,48,21425.9999,300,41,387,1458
3444434,62,22709.0001,72,12,90,228
3444524,36,70037.5967,620,76,584,3894
3444634,48,31151.6233,50,90,116,1814
3444784,48,23464.75,162,21,287,1005
3444804,36,25795.9999,560,100,808,42
3444844,56,24231.25,120,45,270,1865
3444964,53,15481.5001,480,91,436,500
3445464,77,3648,96,30,76,184
3445554,28,11508.2501,246,40,530,1038
3445574,65,25975.7502,45,12,211,546
3445624,39,23974.4999,1020,188,230,2281
3445794,41,23584.5,365,50,40,1277
3445954,43,37667.3365,240,45,340,1573
3446784,61,24495.0929,495,89,114,616
3446894,52,13630.7501,120,26,30,409
3446904,45,23715.35,30,90,213,2468
3447254,70,8745,20,12,306,362
3447324,70,23364,260,75,62,4166
3447334,63,18744,60,52,240,2401
3447394,29,13799.5001,90,30,203,467
3447434,62,12345.7499,75,45,133,464
3447494,66,9162,102,20,122,436
3447824,28,32265.3368,150,90,1696,8786
3447854,30,32789.5001,300,137,5212,634
3448644,67,16573,767,10,496,1939
3448734,41,65493.0002,300,15,102,423
3448904,56,20837.9999,150,25,465,809
3448974,33,17918.25,150,60,433,125
3449044,67,22727.5002,45,45,300,1434
3449234,61,24486.65,300,144,390,804
3449544,49,17844.0001,180,99,45,551
